,Unnamed: 0,Monit_MAP_CODE1,Year,avg(PIN),avg(ACRES_POLY),avg(TOTAL_TAX),avg(TAX_CAPAC),avg(FIN_SQ_FT),avg(NUM_UNITS),avg(EMV_LAND),avg(EMV_TOTAL),avg(GARAGESQFT),avg(EMV_BLDG),avg(SALE_VALUE),avg(ACRES_DEED),avg(YEAR_BUILT),count(PIN),count(ACRES_POLY),count(TOTAL_TAX),count(TAX_CAPAC),count(FIN_SQ_FT),count(NUM_UNITS),count(EMV_LAND),count(EMV_TOTAL),count(GARAGESQFT),count(EMV_BLDG),count(SALE_VALUE),count(ACRES_DEED),count(YEAR_BUILT),stddev_samp(PIN),stddev_samp(ACRES_POLY),stddev_samp(TOTAL_TAX),stddev_samp(TAX_CAPAC),stddev_samp(FIN_SQ_FT),stddev_samp(NUM_UNITS),stddev_samp(EMV_LAND),stddev_samp(EMV_TOTAL),stddev_samp(GARAGESQFT),stddev_samp(EMV_BLDG),stddev_samp(SALE_VALUE),stddev_samp(ACRES_DEED),stddev_samp(YEAR_BUILT),LAKE_NAME_x,CITY,COUNTY,MAJOR_WATERSHED_x,avg(Secchi_Depth_RESULT),avg(Total_Phosphorus_RESULT),stddev_samp(Secchi_Depth_RESULT),stddev_samp(Total_Phosphorus_RESULT),DNR_ID_Site_Number,Mean(log_phosphorus),Std Dev(log_phosphorus),Mean(Secchi_Depth_RESULT),Std Dev(Secchi_Depth_RESULT),rec_1,rec_2,rec_3,rec_4,rec_5,seasonal_1,seasonal_2,seasonal_3,seasonal_4,seasonal_5,physical_1,physical_2,physical_3,physical_4,physical_5,LAKE_NAME_y,MAJOR_WATERSHED_y,longitude,latitude,num.rec.readings,num.physical.readings,rec.avg,physical.avg,seasonal.grade,LakeSite,Number Properties,Mean(ACRES_POLY),Std Dev(ACRES_POLY),N(Ag Preserve - Yes),N(Basement - Yes),Median(EMV_TOTAL),Interquartile Range(EMV_TOTAL),Median(FIN_SQ_FT),Interquartile Range(FIN_SQ_FT),N(Green ACRE - Yes),N(Homestead - Partial),N(Homestead - Yes),N(Single Unit),N(Multiple Unit),Median(SALE_VALUE),Interquartile Range(SALE_VALUE),Median(TOTAL_TAX),Interquartile Range(TOTAL_TAX),N(Sales that year),N(Built that year)
10,10,10001200-01,2012,,0.7799832425638876,4217.577712609971,0.0,1736.3917050691246,65.0,101134.64599916212,284769.1244239632,,183634.47842480103,199996.33598659406,0.5181943862589026,1874.0238793464603,2387,2387,2387,2387,2387,2,2387,2387,0,2387,2387,2387,2387,,5.446207236270616,13777.170918704287,0.0,3514.022368528635,0.0,366784.87746766116,766736.0659537469,,515639.64017669647,207386.57703939246,5.65565151102576,471.4975018306623,Ann Lake,Chanhassen,Carver,Lower Minnesota River,3.091666666666667,0.2105,0.4800173607971557,0.2587970422761997,10001200-01,-2.385996618,1.4341315753,3.0916666667,0.4800173608,4,2,0,0,0,0,0,0,0,1,1,4,1,0,0,Ann Lake,Lower Minnesota River,-93.55689623,44.87313144,6,6,1.3333333333,2.0,A,Ann Lake-1,36,11.464444444,30.751785123,0,0,274600,64800.0,1688.0,820.0,2,0,28,0,0,191000.0,165000.0,3973.0,1143.0,0,0
11,11,02004500-01,2009,,1.5860559717020375,4474.189034540158,2432.8595505617973,1898.3664169787764,0.4682688306283812,96568.65376612569,281401.15480649186,560.3475113122172,183330.836454432,105359.43081564712,0.3489117769454848,1823.5899916770707,9612,9612,9612,9612,9612,9612,9612,9612,1105,9612,9612,9612,9612,,6.464693402059617,27195.17281488264,8241.448576020643,9716.809001269388,6.753268105934932,338036.0138284523,1148632.548237505,226.04678109285717,910681.574055795,296254.9889428987,3.4054278043378594,533.8327673433506,Golden Lake,Circle Pines,Anoka,Mississippi River - Twin Cities,2.069230769230769,0.048461538461538466,0.5603341493915563,0.023503954931796002,02004500-01,-3.109458792,0.3991755347,2.0692307692,0.5603341494,5,8,0,0,0,0,0,1,0,0,5,6,2,0,0,Golden Lake,Mississippi River - Twin Cities,-93.15271269,45.13923351,13,13,1.6153846154,1.7692307692,C,Golden Lake-1,811,0.5121948212,1.4528187558,0,0,222700,116800.0,1256.0,461.0,0,0,654,0,0,193009.0,63651.0,3118.0,1561.0,18,0
12,12,02065400-01,2007,,0.5259742574963459,2809.459276690317,2599.737345645999,1148.9082135938486,0.23895652754814034,79391.71628575843,248173.49449138946,,168658.26172733866,134968.54741445906,0.12669447712767848,1792.4494479504638,84141,84141,84141,84141,84141,59877,84141,84141,0,84141,84141,84141,84141,,2.2549853600092344,9712.545738993378,7087.945034627282,6024.559301074812,4.166680938367026,158816.81457262064,487047.9652484621,,396464.7236063885,3073041.9792172494,1.6983386726177443,577.7793953502587,Cenaiko Lake,Coon Rapids,Anoka,Mississippi River - Twin Cities,2.25,0.01508333333333333,0.5823151286811197,0.005884623002265131,02065400-01,-4.25933238,0.371618756,2.25,0.5823151287,12,0,0,0,0,0,0,0,0,1,4,8,0,0,0,Cenaiko Lake,Mississippi River - Twin Cities,-93.30035632,45.14036824,12,12,1.0,1.6666666667,A,Cenaiko Lake-1,1740,0.9999310345,4.6258599432,0,0,223900,126700.0,662.5,1176.0,0,0,1406,0,0,195500.0,148500.0,2357.0,1651.75,52,2
13,13,82015300-01,2009,,6.890303030303032,333966.66666666674,0.0,1500.1054018445325,,166422.7931488801,342146.11330698285,,175723.32015810275,117212.7417654809,6.677760210803692,1523.1739130434785,759,759,759,759,759,0,759,759,0,759,759,759,759,,10.24312258045802,201451.61438309442,0.0,1087.7643405828326,,103627.48484042066,202333.25010405612,,140026.65990616396,199439.32404980995,10.286303609286737,834.5542180118811,Sunset Lake,Hugo,Washington,Mississippi River - Twin Cities,2.9857142857142858,0.016142857142857143,0.4740906081772817,0.004375255094603872,82015300-01,-4.160968629,0.2913373211,2.9857142857,0.4740906082,1,0,0,2,0,0,0,0,0,1,3,4,0,0,0,Sunset Lake,Mississippi River - Twin Cities,-92.94157024,45.13527125,3,7,3.0,1.5714285714,A,Sunset Lake-1,224,2.6168663594,4.0955775998,0,0,300600,369500.0,1334.0,1798.25,2,217,0,0,0,260000.0,210000.0,310100.0,369150.0,0,0
14,14,82005400-01,2013,,7.046952380952378,0.0,1998.2571428571425,1022.2,0.6507177033492823,113867.61904761904,216351.42857142855,866.904,102483.80952380953,105552.88095238096,0.0,1278.1142857142854,420,420,420,420,420,418,420,420,250,420,420,420,420,,12.940246010934365,0.0,1453.0506467187458,903.434664928654,0.4773145921482879,74168.85977569915,143784.25041085714,553.9505063069722,102938.70050581176,147998.66070157773,0.0,944.1665776159829,Bone Lake,Scandia,Washington,Lower St. Croix River,1.296,0.03968000000000002,0.27066276680277496,0.022663700786352912,82005400-01,-3.31880526,0.3947457902,1.296,0.2706627668,0,8,12,0,0,0,0,1,0,0,0,9,10,1,0,Bone Lake,Lower St. Croix River,-92.86026082,45.28659868,20,20,2.6,2.6,C,Bone Lake-1,246,2.5968292683,6.0084947101,0,0,235400,199800.0,1104.0,1652.0,14,0,196,176,0,157000.0,206100.0,,,0,0
15,15,27004700-01,2011,,1.3661870798912208,4559.218328287752,3230.6938785981843,169.53666170660372,,118919.78038893735,291296.0182667146,516.5359539789071,172246.89311919545,202379.58443224386,0.0019087690492072453,1879.3038637179948,19489,19489,19489,19489,19489,0,19489,19489,2086,19489,19489,19489,19489,,5.9981330350102064,15452.402009848647,8988.069681056499,540.4034537824272,,215900.48941175622,544932.4904647854,179.21589783060142,371266.47015502217,654940.8830943239,0.18841784024379207,436.01620789220385,Bush Lake,Bloomington,Hennepin,Lower Minnesota River,2.766666666666666,0.01575,0.5449492609130661,0.004048007366144933,27004700-01,-4.179366246,0.2462629489,2.7666666667,0.5449492609,2,10,0,0,0,0,0,0,0,1,2,10,0,0,0,Bush Lake,Lower Minnesota River,-93.38283992,44.83809461,12,12,1.8333333333,1.8333333333,A,Bush Lake-1,643,0.8690140845,3.1707377974,0,0,412300,344600.0,0.0,0.0,0,0,487,0,0,350000.0,288594.75,6437.0,4125.0,4,0
16,16,19004100-01,2012,,1.2496040226272789,4389.436832181018,3849.471401634192,2703.658705216845,0.9182903834066624,97890.6976744186,335226.33563796355,597.79633401222,237335.63796354487,206206.92960402265,0.0,1842.1967316153366,1591,1591,1591,1591,1591,1591,1591,1591,1473,1591,1591,1591,1591,,2.849633017367208,5847.371661528905,13271.8336403694,2257.003127887437,0.2785607098705121,132008.48629649842,674665.2039254424,257.84432563802,596929.6741072314,196044.21545859214,0.0,521.7611488913827,Marcott Lake,Inver Grove Heights,Dakota,Mississippi River - Lake Pepin,2.4285714285714284,0.035857142857142865,0.74992063072098,0.027285090992631683,19004100-01,-3.526875104,0.6481717126,2.4285714286,0.7499206307,1,6,0,0,0,0,0,0,1,0,5,2,0,0,0,Marcott Lake,Mississippi River - Lake Pepin,-93.08291903,44.82774287,7,7,1.8571428571,1.2857142857,B,Marcott Lake-1,114,2.011754386,2.7936192295,0,0,292300,79800.0,2424.0,1042.0,0,0,96,92,0,265000.0,234250.0,3977.5,1693.0,2,0
17,17,10001100-01,2012,,0.6558189081225032,4473.717709720373,0.0,2003.8521970705729,,117660.05326231693,353374.1677762983,,235714.11451398136,273908.06657789607,0.2979494007989347,1818.8588548601865,751,751,751,751,751,0,751,751,0,751,751,751,751,,1.292187845669251,2316.878614042166,0.0,1062.0664188859216,,120186.43817889974,191873.57510908012,,133363.39073067068,220024.26456444198,1.2692404248616471,555.7113939670667,St. Joe Lake,Chanhassen,Carver,Mississippi River - Twin Cities,2.671428571428572,0.016285714285714285,0.1822478688881868,0.0038172540616821108,10001100-01,-4.141902637,0.2413558142,2.6714285714,0.1822478689,7,0,0,0,0,0,0,0,0,1,2,2,3,0,0,St. Joe Lake,Mississippi River - Twin Cities,-93.62296909,44.8756457,7,7,1.0,2.1428571429,A,St. Joe Lake-1,312,0.8168910256,1.7049018456,0,0,400400,225175.0,2286.0,1850.0,0,0,260,0,0,428313.0,292000.0,5327.0,2784.5,4,0
18,18,62000100-01,2009,,0.5537307297019527,23656.319630010283,0.0,1270.7344552929085,1.2908568300027374,125199.92291880783,330159.08273381303,518.986621476989,176354.11099691674,130978.7444758479,0.5149010791366911,1790.6460688591985,7784,7784,7784,7784,7784,7306,7784,7784,5606,7784,7784,7784,7784,,3.0309686563390605,199151.3597582113,0.0,701.0199131866336,5.895565326438893,514233.07363019284,1336048.514111423,153.69013741994797,708964.9451386812,434107.96294460783,3.0200532086359897,562.9113979368689,Silver Lake,North St. Paul,Ramsey,Lower St. Croix River,1.785285714285714,0.034428571428571426,0.30107015477333193,0.00830375703837612,62000100-01,-3.394750303,0.2490642107,1.7852857143,0.3010701548,0,6,1,0,0,0,0,0,1,0,1,6,0,0,0,Silver Lake,Lower St. Croix River,-92.98615998,45.02818484,7,7,2.1428571429,1.8571428571,B,Silver Lake-1,878,0.5068072976,1.5770682805,0,0,219400,73775.0,1301.0,684.5,0,877,0,594,4,162690.0,119175.0,2888.0,164774.0,6,0
19,19,62004901-01,2007,,0.001491442542787286,10713.393643031783,10.14914425427873,1216.7432762836186,1.88375350140056,159471.02689486553,485224.93887530564,,319823.9608801956,145516.1246943765,0.809022004889975,1765.7897310513447,1636,1636,1636,1636,1636,1428,1636,1636,0,1636,1636,1636,1636,,0.028687506259871237,32809.51105008833,144.83542829635,754.0557171539122,9.308792141255749,290882.03757519805,1065005.4803443998,,826472.9184789071,579771.1241531963,1.755335289544531,597.6994466642932,Langton Lake,Roseville,Ramsey,Mississippi River - Twin Cities,1.117307692307692,0.05542307692307692,0.2266902325607823,0.02494020541522957,62004901-01,-2.961690391,0.3602973938,1.1173076923,0.2266902326,2,4,0,1,0,0,0,2,0,0,3,5,9,5,0,Langton Lake,Mississippi River - Twin Cities,-93.1815991,45.02926214,7,22,2.0,2.7272727273,C,Langton Lake-1,109,,,0,0,249800,165900.0,1186.0,1790.0,0,0,65,65,0,158900.0,142250.0,3034.0,770.0,4,0
20,20,82030800-01,2008,,0.6401404135818229,415502.6295634414,0.0,0.0,,119413.1222874649,417111.18202706147,,294969.109011999,112037.0842481491,0.4975440388052082,1365.1227980597396,3917,3917,3917,3917,3917,0,3917,3917,0,3917,3917,3917,3917,,4.789589035758042,1728041.5617802031,0.0,0.0,,248379.9739553943,1727827.0140312943,,1626744.9806073166,272699.7437532025,1.6352014096326746,896.7144944514267,Brick Pond,Stillwater,Washington,Lower St. Croix River,1.1972857142857145,0.1062857142857143,0.25557237349768097,0.05132807641604572,82030800-01,-2.350771797,0.5152985914,1.1972857143,0.2555723735,0,0,3,4,0,0,0,1,0,0,0,5,2,0,0,Brick Pond,Lower St. Croix River,-92.81843998,45.04299815,7,7,3.5714285714,2.2857142857,C,Brick Pond-1,269,0.8527969349,1.8826583683,0,0,270800,89200.0,0.0,0.0,0,269,0,0,0,200000.0,134000.0,270800.0,96900.0,5,0
21,21,10008000-01,2009,,8.431021069692056,2256.5283630470017,1879.1604538087522,1359.1507293354946,4.0,105371.47487844409,218640.03241491085,,113268.55753646676,88187.03241491086,8.057617504051862,1266.1766612641816,617,617,617,617,617,2,617,617,0,617,617,617,617,,24.888352249385466,2215.2709223344073,1638.2785336316406,4473.197414823547,0.0,148162.657840979,347141.58831751824,,288624.63329527416,119816.09285013562,25.048824446770897,946.9984244010417,Rutz Lake,Waconia Township,Carver,Lower Minnesota River,1.6166666666666665,0.17933333333333334,2.637738930725834,0.04979825967507967,10008000-01,-1.748968022,0.2665863827,1.6166666667,2.6377389307,0,0,3,3,0,1,0,0,0,0,0,4,2,0,0,Rutz Lake,Lower Minnesota River,-93.85951756,44.87183629,6,6,3.5,2.3333333333,F,Rutz Lake-1,26,16.436153846,28.504996345,1,1,292500,293650.0,0.0,1942.5,2,0,9,0,0,51500.0,83000.0,2185.5,3326.0,0,0
22,22,10000200-01,2006,,0.502964854310604,1456.0820066085912,1178.083208170622,1251.1111444878345,,107421.83838990687,304975.84860318416,418.41659232827834,197554.01021327727,212558.34755181734,0.3858936617602884,1731.0928206668668,3329,3329,3329,3329,3329,0,3329,3329,2242,3329,3329,3329,3329,,3.139694931978553,3346.111838429808,2750.3554359434784,3755.562564802776,,177874.25235864843,455030.4349031717,281.99684860838886,363522.84009828896,390697.30622533755,3.4894768042350623,653.0626249931819,Riley Lake,Eden Prairie,Carver,Lower Minnesota River,2.29,0.0604,1.4835767590522575,0.034059425192513815,10000200-01,-2.961873135,0.602844713,2.29,1.4835767591,1,3,6,0,0,0,0,0,1,0,0,2,2,4,2,Riley Lake,Lower Minnesota River,-93.51695191,44.83469027,10,10,2.5,3.6,B,Riley Lake-1,72,3.7742857143,1.4522265336,0,0,408400,388900.0,0.0,0.0,0,0,55,0,0,210200.0,245800.0,6000.0,4417.0,0,0
23,23,19008000-01,2013,,1.0920277341705906,9192.206436420722,4806.855834641549,4986.058608058608,0.8707482993197279,143581.1616954474,457782.65306122456,418.58267922553637,314201.4913657771,162263.98090005232,0.0,1677.4583987441129,3822,3822,3822,3822,3822,3822,3822,3822,3822,3822,3822,3822,3822,,3.7756706729234617,37074.997694195896,13705.75555204593,18894.888577306512,1.9137479488399385,352193.18226660823,1129496.4346934955,309.00604656842967,876093.8421043274,379262.602485642,0.0,703.2939389289928,Rogers Lake,Mendota Heights,Dakota,Mississippi River - Twin Cities,,0.018777777777777782,,0.006437735971942657,19008000-01,-4.0331262,0.3725584236,,,5,4,0,0,0,0,0,0,0,0,7,2,0,0,0,Rogers Lake,Mississippi River - Twin Cities,-93.13915635,44.87116478,9,9,1.4444444444,1.2222222222,F,Rogers Lake-1,287,1.9047038328,4.5477642051,0,0,274200,168700.0,2151.0,2788.0,0,0,203,193,2,284500.0,196025.0,3144.5,1501.0,2,0
